Parcela,Mod / Subp,CENSO,Estación /año,Fecha,#Ind,Clave sp,Género,Epiteto específico,Familia,Nombre común,Altura,Largo,DAP mayor,# Tallos,Estatus,Observaciones,# CenOrig,Fenología,Daño,Origen,FormaVida,DAP1,DAP2,DAP3,DAP4,DAP5,DAP6,DAP7,DAP8,DAP9,DAP10,DAP11,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,116,neoema,Neomillspaughia,emarginata,POLYGONACEAE,Sak its'a,6,6.5,6,8,arbol,rebrote,C14,,,rebrote,,1.8,3.2,6,2.5,3,1.9,1.5,2,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,117,neoema,Neomillspaughia,emarginata,POLYGONACEAE,Sak its'a,6.5,6.8,6,2,arbol,semilla,C14,,,semilla,,6,3.4,,,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,118,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,6.5,7,5.5,1,arbol,semilla,C14,,,semilla,,5.5,,,,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,133,boupul,Bourreria,pulchra,BORAGINACEAE,Baka ché,6.5,6.7,5,1,recluta,semilla,C15,,,semilla,,5,,,,,,,,,,,,
3 B,5,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,134,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,7,7.5,5.5,1,recluta,semilla,C15,,,semilla,,5.5,,,,,,,,,,,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,20,luslat,Lysiloma,latisiliquum,FABACEAE,Tsalam,3,4.5,14.8,1,arbol,semilla,C0,,,semilla,,14.8,,,,,,,,,,,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,21,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,5,5.5,11.5,2,arbol,semilla,C0,,,semilla,,11.5,5.7,,,,,,,,,,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,22,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,5,6,10.9,1,arbol,semilla,C0,,,semilla,,10.9,,,,,,,,,,,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,23,pispis,Piscidia,piscipula,FABACEAE,Ja'abin,5,5.5,9.3,3,arbol,rebrote,C0,,,rebrote,,9.3,5.8,6.2,,,,,,,,,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,46,cocvit,Cochlospermum,vitifolium,BIXACEAE,Chu'um,5,5,7.4,1,arbol,,C6,,,,,7.4,,,,,,,,,,,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,70,chrica,Chrysobalanus,icaco,CHRYSOBALANACEAE,Chunlok,5,5,6.3,2,arbol,rebrote,C9,,,rebrote,,6.3,4.4,,,,,,,,,,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,71,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,5,5.5,6.1,2,arbol,,C9,,,,,6.1,4.7,,,,,,,,,,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,83,heldon,Heliocarpus,donellsmithii,MALVACEAE,Joolol,4,4.5,6.6,3,arbol,semilla,C10,,,semilla,,6.6,5.2,4,,,,,,,,,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,93,bursim,Bursera,simaruba,BURSERACEAE,Chakaj,2.5,2.5,5.3,1,arbol,,C12,,,,,5.3,,,,,,,,,,,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,103,mimbah,Mimosa,bahamensis,FABACEAE,Sak katsim,4,5,6.7,1,arbol,semilla,C12,,,semilla,,6.7,,,,,,,,,,,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,104,helbar,Helicteres,baruensis,MALVACEAE,Sutup,6,6.5,5.5,1,arbol,semilla,C12,,,semilla,,5.5,,,,,,,,,,,,
3 B,6,C27,Lluvias 2015,15 DE OCTUBRE DE 2015,135,gymflo,Gymnopodium,floribundum,POLYGONACEAE,Ts'i'ts'ilché,3,4,5.2,1,recluta,,C15,,,,,5.2,,,,,,,,,,,,
